date,provider,headline,tickers,sentiment
2025-07-23,PR Newswire,Avidity Biosciences Receives FDA Breakthrough Therapy Designation for Delpacibart Zotadirsen (del-zota) for the Treatment of DMD in People with Mutations Amenable to Exon 44 Skipping,"['DMD', 'FDA']",Bearish
2025-07-23,PR Newswire,Synchrony and Dental Intelligence Partner to Simplify Payment and Marketing Solutions for Dentists,[],Neutral
2025-07-23,PR Newswire,ALLEGIANT TRAVEL COMPANY SCHEDULES SECOND QUARTER 2025 EARNINGS CALL,['CALL'],Neutral
2025-07-23,PR Newswire,First Community Corporation Announces Record Earnings and Increased Cash Dividend,[],Bearish
2025-07-23,PR Newswire,Former Cruise President and CTO Mohamed Elshenawy Joins Kodiak Robotics Board of Directors,['CTO'],Neutral
2025-07-23,PR Newswire,Goodyear Assurance MaxLife 2: Goodyear's Longest-Lasting Tire Now Available in U.S. and Canada,"['S', 'U']",Neutral
2025-07-23,GlobeNewswire,Philips advances minimally invasive therapy procedures in prostate cancer care with FDA 510(k) clearance for image-guided navigation technology,['FDA'],Bearish
2025-07-23,GlobeNewswire,Elevate Mealtime with New Tyson Simple Ingredient Nuggets,[],Neutral
2025-07-23,GlobeNewswire,Natural Health Trends to Report Second Quarter 2025 Financial Results on July 30th,[],Neutral
2025-07-23,GlobeNewswire,Upwork Evolves Uma AI into AI Work Agent,['AI'],Neutral
2025-07-23,GlobeNewswire,Rapid7 Labs Security Researchers to Speak at Black Hat USA 2025 and DEF CON 33,"['CON', 'DEF', 'USA']",Neutral
2025-07-23,GlobeNewswire,NeOnc Technologies' Executive Chairman to Be Featured in Live Interview with Kenny Polcari on YouTube.com/@Floorstocks - Today at 11:00 a.m. ET,['ET'],Neutral
2025-07-23,GlobeNewswire,"Grayscale Investments Low-Cost Bitcoin ETP (Ticker: BTC) Surpasses $5,000,000,000 in AUM Within First Year and Expands Access Through Major Wealth Management Platform","['BTC', 'AUM', 'ETP']",Bearish
2025-07-23,GlobeNewswire,Varonis Secures HDS Certification,['HDS'],Neutral
2025-07-23,GlobeNewswire,Ikena Oncology and Inmagene Biopharmaceuticals Announce Kristin Yarema,[],Neutral
2025-07-23,GlobeNewswire,Graphjet visited by Japanese trading company,[],Neutral
2025-07-23,Business Wire,"Buy with Prime Powers Revlons Limited-Edition ""Flavortown"" Lip Balm Launch with Guy Fieri",[],Neutral
2025-07-23,Business Wire,Capitol Federal Financial,[],Neutral
2025-07-23,Business Wire,Cornelis CN5000 Deployed by U.S. Department of Energys National Nuclear Security Administration at Lawrence Livermore National Laboratory,"['S', 'U']",Neutral
2025-07-23,PR Newswire,Former Cruise President and CTO Mohamed Elshenawy Joins Kodiak Robotics Board of Directors,['CTO'],Neutral
2025-07-23,PR Newswire,Govini Selected as a Core Partner for U.S. Army's Next Phase of Next Generation Command and Control (NGC2),"['S', 'U']",Bearish
2025-07-23,Business Wire,Insa Achieves Exceptional Yields with Fluence LED Technology,['LED'],Bearish
2025-07-23,GlobeNewswire,LayerX Becomes First Enterprise Browser Company to Support Perplexitys New Comet Browser,[],Neutral
2025-07-23,PR Newswire,Lost In Transition: Gaps in Career Paths Costing Canada's Economy C$146 Billion Annually,['C'],Bullish
2025-07-23,Newsfile,Noble Plains Uranium Expands Shirley East Project in Wyoming,[],Neutral
2025-07-23,Business Wire,Olto Raises $5.1M to Transform B2B Sales with AI,['AI'],Bearish
2025-07-23,PR Newswire,Payactiv Named a Workday Partner,[],Neutral
2025-07-23,Business Wire,"Paychex Again Named to Selling Powers ""60 Best Companies to Sell For"" 2025 List",[],Bearish
2025-07-23,Business Wire,"Porch Groups Home Factors Audience Drives 1,054% ROI for Regional Home Improvement Brand",['ROI'],Neutral
2025-07-23,Business Wire,New Progresso® Pitmaster Soups Take on Grilling Season Without the Grill,[],Neutral
2025-07-23,Business Wire,Regions Bank Unveils Mobile App Enhancements,[],Bearish
2025-07-23,Business Wire,Thermo Fisher Scientifics Chief Financial Officer,[],Neutral
2025-07-23,Business Wire,The University of Melbourne Selects Rimini Street to Reduce Risk and Accelerate Innovation Around its Oracle Systems,[],Bearish
2025-07-23,Business Wire,Sydney Sweeney Has Great (American Eagle) Jeans,[],Bearish
2025-07-23,Business Wire,Insight Named an 'Emerging Visionary' in Inaugural Gartner Innovation Guide for Generative AI Consulting and Implementation Services,['AI'],Bearish
